latitude,longitude,zone_code,hemisphere_NS,hemisphere_WE
24.4667,54.3667,ME-MID,North,East
25.8667,55.0167,ME-MID,North,East
25.5333,55.55,ME-MID,North,East
25.1167,56.3333,ME-MID,North,East
25.7167,55.8,ME-MID,North,East
26.0333,56.05,ME-MID,North,East
24.1167,52.7333,ME-MID,North,East
25.6167,56.2667,ME-MID,North,East
25.25,55.2667,ME-MID,North,East
25.25,55.25,ME-MID,North,East
25.3,55.3167,ME-MID,North,East
24.9,54.9,ME-MID,North,East
25.0,55.05,ME-MID,North,East
25.0667,56.35,ME-MID,North,East
25.3333,56.35,ME-MID,North,East
25.35,55.3667,ME-MID,North,East
24.8333,54.6667,ME-MID,North,East
25.2667,55.2833,ME-MID,North,East
24.5167,54.3667,ME-MID,North,East
24.3833,54.4833,ME-MID,North,East
25.8167,55.95,ME-MID,North,East
25.95,56.05,ME-MID,North,East
25.7833,55.95,ME-MID,North,East
24.1,52.7167,ME-MID,North,East
25.35,55.3833,ME-MID,North,East
25.5833,55.5833,ME-MID,North,East
24.4958385,54.6040121,ME-MID,North,East
24.8833,53.0667,ME-MID,North,East
25.0,55.05,ME-MID,North,East
25.4052165,55.5136433,ME-MID,North,East
25.15,52.8833333,ME-MID,North,East
25.115,55.1375,ME-MID,North,East
24.317,54.45,ME-MID,North,East
25.983,55.933,ME-MID,North,East
24.1915137,52.6126027,ME-MID,North,East
24.5779154,53.3056266,ME-MID,North,East
25.967,56.067,ME-MID,North,East
25.284755,55.2756505,ME-MID,North,East
24.0535567,53.4122052,ME-MID,North,East
24.533,54.4,ME-MID,North,East
24.433,54.5,ME-MID,North,East
36.65,66.9833,ME-IPB,North,East
32.1,66.8833,ME-IPB,North,East
34.1298683,71.0839469,ME-IPB,North,East
41.4591168,48.8020626,ME-MID,North,East
40.25,49.6,ME-MID,North,East
39.9167,48.9167,ME-MID,North,East
40.5833,49.6667,ME-MID,North,East
40.408005,49.86735,ME-MID,North,East
24.0333,91.0167,ME-IPB,North,East
23.05,88.9,ME-IPB,North,East
22.3333,91.8333,ME-IPB,North,East
23.5449195,90.5296275,ME-IPB,North,East
23.65,90.45,ME-IPB,North,East
21.9333,90.2667,ME-IPB,North,East
22.4942196,89.6016171,ME-IPB,North,East
26.2333,50.65,ME-MID,North,East
26.25,50.6,ME-MID,North,East
26.2,50.6167,ME-MID,North,East
26.2,50.6167,ME-MID,North,East
26.1333,50.6167,ME-MID,North,East
26.2,50.61667,ME-MID,North,East
4.8833,114.9333,AS-SIN,North,East
4.5831986,114.2212174,AS-SIN,North,East
5.0333206,115.0732883,AS-SIN,North,East
-12.0,96.8333,AS-SIN,South,East
21.3833,109.8333,AS-SIN,North,East
30.5167,117.0333,AS-NCN,North,East
36.4167,119.1833,AS-NCN,North,East
31.3,121.15,AS-NCN,North,East
27.5833,120.45,AS-SCN,North,East
25.4667,105.7833,AS-NCN,North,East
31.0333,110.3833,AS-NCN,North,East
25.4333,105.8,AS-NCN,North,East
19.7,109.2167,AS-SIN,North,East
35.0167,118.6,AS-NCN,North,East
30.4333,111.5167,AS-NCN,North,East
31.4167,121.4833,AS-NCN,North,East
19.0,108.6167,AS-SIN,North,East
21.4667,109.1167,AS-SIN,North,East
22.9167,113.2,AS-SCN,North,East
21.3667,110.25,AS-SCN,North,East
22.6167,114.85,AS-SCN,North,East
33.7167,119.6167,AS-NCN,North,East
27.25,120.3333,AS-SCN,North,East
21.5167,111.0,AS-SCN,North,East
38.45,118.4333,AS-NCN,North,East
34.85,118.05,AS-NCN,North,East
23.4833,111.3167,AS-SCN,North,East
38.95,118.5333,AS-NCN,North,East
30.7833,121.4,AS-NCN,North,East
40.4167,124.8,AS-NCN,North,East
28.2,112.9833,AS-SCN,North,East
31.65,120.7167,AS-NCN,North,East
31.7833,119.9667,AS-NCN,North,East
31.6,117.85,AS-NCN,North,East
23.2667,116.6,AS-SCN,North,East
23.6667,116.6333,AS-SCN,North,East
22.95,113.2333,AS-SCN,North,East
40.9667,117.9333,AS-NCN,North,East
29.4333,113.15,AS-SCN,North,East
31.9167,120.2333,AS-NCN,North,East
22.4833,113.8833,AS-SCN,North,East
30.65,117.4667,AS-NCN,North,East
31.6333,121.4,AS-NCN,North,East
29.5833,106.55,AS-NCN,North,East
32.3167,118.2833,AS-NCN,North,East
30.1667,121.2333,AS-NCN,North,East
22.5333,113.8667,AS-SCN,North,East
24.5333,118.3167,AS-SCN,North,East
33.1833,120.4667,AS-NCN,North,East
38.9167,121.6,AS-NCN,North,East
39.7333,123.7167,AS-NCN,North,East
25.1833,119.6,AS-SCN,North,East
